text_hash	cluster_size	score_mean	score_median	score_min	score_max
34e4307874525f9f7599fc88da2b3a24bddd4cfbcc44f5f6089eadc23aca03f7	12	12.025415	12.025415	12.025415	12.025415
328db1f0825644939f6439cd7816470a9434f8d920e97e3cbfe14b1c15f1a359	12	10.002677	10.002677	10.002677	10.002677
439cd7313d18153e653265eee4423a008a3ddacac694390f887c835c2f96c040	11	100.938707	100.938707	100.938707	100.938707
68a18f8c94d29cfe16c66cef05480276a1a15906a1287a685380d8474f074a55	11	42.083942	42.083942	42.083942	42.083942
0d359accd47f0485bef5a62e3dbb40cd53127563556d6d996a54864327bdb088	11	35.549845	35.549845	35.549845	35.549845
360ae92d469842371c947ec1f055982962182d3b41967723268c2e776ceeef44	11	32.737803	32.737803	32.737803	32.737803
2cc13573ed3940af37e88cc5139cf54771c5a5845b3b7985080fae1421a488b3	11	21.869217	21.869217	21.869217	21.869217
41e1c7c71f421e75f623454712fe1565606d986037dea8646df000f6fca9757e	11	18.351542	18.351542	18.351542	18.351542
b8afa03d5077029d23ecc1bf0f93948923a8f3c3c6f1c5ca9e049ae1068e6881	10	27.624702	27.624702	27.624702	27.624702
fa08416002bcaed62bea7e9c6bbd4f55b77f6477d20e0eaf5e6a966ef572ec1c	10	22.321135	22.321135	22.321135	22.321135
766c7ea285eef2a956f597957d96329dc7ceda76f0b4724f2d720f35b73583a8	10	20.313219	20.313219	20.313219	20.313219
d8ddd9c8b6dff32c480ac6b09d50b5fa6a63ffa531ca78fd629566c02c4a9cf0	10	14.867122	14.867122	14.867122	14.867122
7eb3041207de348e7fad09a0a97f7ef45cf4a51bc1b3c5844f51f9a01e14e277	10	9.069684	9.069684	9.069684	9.069684
b458c62385903472d29863c57edadeec34441e20b88894a26b61e987d966e595	10	5.574884	5.574884	5.574884	5.574884
